// encoder resolution in tick per meter 
leftResolution:3800
rightResolution:3800
// distance between the 2 encoders in meter
encoderDistance:0.128000
// time (ms), left encoder (ticks), right encoder (ticks), left motor power (0-100), right motor power (0-100), order0, order1, x (mm), y (mm), theta (rad)
2529,-690,682,-98,99,764035,0,677000,-4000,-0.000499,-0.000532,2.783717
2542,-699,691,-43,58,764035,0,694000,-4000,-0.000499,-0.000532,2.853618
2553,-705,697,-43,58,764035,0,700000,-4000,-0.000499,-0.000532,2.878289
2564,-712,704,-31,46,764035,0,707000,-4000,-0.000499,-0.000532,2.907072
2580,-720,712,-28,43,764035,0,715000,-4000,-0.000499,-0.000532,2.939967
2596,-727,720,-24,39,764035,0,720000,-4000,-0.000499,-0.000532,2.960526
2614,-733,727,-21,36,764035,0,730000,-3000,-0.000804,-0.000504,3.001645
2624,-736,731,-17,30,764035,0,733500,-2500,-0.000957,-0.000493,3.016036
2644,-742,738,-15,28,764035,0,739000,-2000,-0.001110,-0.000485,3.038651
2660,-746,743,-14,25,764035,0,743500,-1500,-0.001263,-0.000480,3.057155
2670,-747,746,-11,22,764035,0,746000,-1000,-0.001416,-0.000476,3.067434
2681,-749,748,-11,20,764035,0,748500,-500,-0.001569,-0.000474,3.077714
2693,-751,751,-10,19,764035,0,751000,0,-0.001722,-0.000473,3.087994
2703,-752,753,-9,18,764035,0,752000,0,-0.001722,-0.000473,3.092105
2713,-753,755,-8,17,764035,0,754000,1000,-0.002029,-0.000476,3.100329
2723,-754,757,-7,16,764035,0,755500,1500,-0.002182,-0.000479,3.106497
2732,-756,758,-7,14,764035,0,756500,1500,-0.002182,-0.000479,3.110609
2742,-756,760,-7,14,764035,0,757500,1500,-0.002182,-0.000479,3.114720
2752,-757,761,-6,13,764035,0,759000,2000,-0.002335,-0.000483,3.120888
2764,-758,763,-6,13,764035,0,760000,2000,-0.002335,-0.000483,3.125000
2784,-759,765,-5,12,764035,0,762000,3000,-0.002641,-0.000496,3.133224
2794,-760,766,-5,10,764035,0,763000,3000,-0.002641,-0.000496,3.137335
